alpha,phi,d_units_net,d_units_affordable,d_units_market,d_rent_pct
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0333,4208.3,2.3,4206.0,0.0913
0.0,0.0667,8360.8,4.4,8356.4,0.182
0.0,0.1,12455.1,6.5,12448.6,0.2743
0.0,0.1333,16438.2,8.8,16429.5,0.3652
0.0,0.1667,20356.9,11.3,20345.6,0.4557
0.0,0.2,24200.6,14.2,24186.4,0.546
0.0,0.2333,27944.9,17.5,27927.4,0.6345
0.0,0.2667,31621.3,21.3,31600.0,0.7227
0.0,0.3,35236.7,25.5,35211.2,0.8109
0.0,0.3333,38753.2,30.2,38723.0,0.8979
0.0,0.3667,42178.8,35.3,42143.6,0.9837
0.0,0.4,45516.8,40.8,45476.0,1.0679
0.0,0.4333,48780.0,46.8,48733.2,1.1522
0.0,0.4667,51948.5,53.7,51894.8,1.2339
0.0,0.5,55008.2,61.0,54947.2,1.3127
0.0,0.5333,57956.3,68.6,57887.7,1.3888
0.0,0.5667,60815.8,76.5,60739.3,1.4626
0.0,0.6,63583.5,84.5,63499.0,1.5341
0.0,0.6333,66129.0,92.5,66036.4,1.5986
0.0,0.6667,68674.5,100.6,68573.9,1.6631
0.0,0.7,71220.0,108.7,71111.3,1.7277
0.0,0.7333,73484.5,116.4,73368.1,1.7849
0.0,0.7667,75749.0,124.1,75624.9,1.8421
0.0,0.8,78013.6,131.8,77881.8,1.8993
0.0,0.8333,79990.3,138.9,79851.4,1.9486
0.0,0.8667,81967.1,145.9,81821.1,1.9979
0.0,0.9,83943.8,153.0,83790.8,2.0472
0.0,0.9333,85664.8,159.4,85505.5,2.0913
0.0,0.9667,87385.9,165.7,87220.1,2.1353
0.0,1.0,89106.9,172.1,88934.8,2.1794
0.025,0.0,-1141.7,4102.3,-5244.1,-0.0716
0.025,0.0333,3019.2,4252.9,-1233.7,0.0177
0.025,0.0667,7116.6,4405.9,2710.7,0.1052
0.025,0.1,11151.6,4561.6,6590.0,0.1941
0.025,0.1333,15081.5,4712.6,10368.8,0.2818
0.025,0.1667,18950.9,4855.0,14095.8,0.3694
0.025,0.2,22746.9,4989.1,17757.8,0.4568
0.025,0.2333,26457.0,5130.5,21326.5,0.5438
0.025,0.2667,30075.4,5262.7,24812.6,0.6279
0.025,0.3,33647.9,5388.0,28259.9,0.7134
0.025,0.3333,37120.4,5519.4,31601.0,0.7978
0.025,0.3667,40509.3,5633.2,34876.1,0.8813
0.025,0.4,43807.1,5757.3,38049.8,0.9631
0.025,0.4333,47011.2,5877.2,41134.0,1.0431
0.025,0.4667,50164.8,5990.9,44173.9,1.1245
0.025,0.5,53193.5,6095.8,47097.7,1.2014
0.025,0.5333,56111.9,6204.0,49907.9,1.2757
0.025,0.5667,58943.8,6304.4,52639.4,1.3478
0.025,0.6,61686.9,6397.4,55289.4,1.4178
0.025,0.6333,64220.0,6425.8,57794.3,1.4819
0.025,0.6667,66741.0,6501.4,60239.6,1.5453
0.025,0.7,69261.9,6577.0,62684.9,1.6087
0.025,0.7333,71526.4,6584.7,64941.7,1.6659
0.025,0.7667,73775.9,6659.6,67116.3,1.7222
0.025,0.8,76010.4,6801.6,69208.8,1.7776
0.025,0.8333,77987.1,6808.6,71178.5,1.8269
0.025,0.8667,79953.9,6871.7,73082.3,1.8755
0.025,0.9,81910.8,6990.7,74920.1,1.9235
0.025,0.9333,83614.4,7090.2,76524.2,1.9662
0.025,0.9667,85326.7,7143.1,78183.6,2.0096
0.025,1.0,87047.7,7149.5,79898.2,2.0537
0.05,0.0,-2280.8,8098.2,-10379.0,-0.1418
0.05,0.0333,1824.1,8404.8,-6580.7,-0.0551
0.05,0.0667,5869.8,8704.3,-2834.4,0.0296
0.05,0.1,9836.4,8996.3,840.1,0.1138
0.05,0.1333,13730.4,9282.0,4448.4,0.2003
0.05,0.1667,17550.1,9560.6,7989.6,0.2849
0.05,0.2,21295.1,9832.9,11462.2,0.3693
