alpha,tau,d_units_net,d_units_affordable,d_units_market,d_rent_pct
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,5347.9,24.7,5323.2,0.0778
0.0,2.0,10570.9,49.7,10521.2,0.154
0.0,3.0,15661.8,75.3,15586.5,0.2304
0.0,4.0,20584.3,101.0,20483.2,0.3041
0.0,5.0,25351.4,127.0,25224.5,0.3759
0.0,6.0,29959.0,153.0,29806.0,0.4458
0.0,7.0,34403.2,178.9,34224.3,0.5137
0.0,8.0,38682.5,204.8,38477.8,0.5795
0.0,9.0,42796.3,230.4,42565.8,0.6432
0.0,10.0,46746.2,255.8,46490.4,0.7049
0.0,11.0,50447.9,280.6,50167.3,0.7625
0.0,12.0,54149.6,305.4,53844.2,0.82
0.0,13.0,57548.0,329.4,57218.6,0.8742
0.0,14.0,60946.3,353.4,60592.9,0.9285
0.0,15.0,64047.0,376.3,63670.7,0.9787
0.0,16.0,67147.6,399.2,66748.4,1.0289
0.0,17.0,69960.1,420.9,69539.1,1.075
0.0,18.0,72772.5,442.7,72329.8,1.1211
0.0,19.0,75325.0,463.2,74861.7,1.1636
0.0,20.0,77877.4,483.7,77393.7,1.2061
0.0,21.0,80190.2,503.0,79687.2,1.2452
0.0,22.0,82503.1,522.2,81980.8,1.2843
0.0,23.0,84593.1,540.2,84052.9,1.3203
0.0,24.0,86683.1,558.2,86124.9,1.3562
0.0,25.0,88570.0,575.0,87995.1,1.3891
0.0,26.0,90456.9,591.7,89865.2,1.4221
0.0,27.0,92159.6,607.2,91552.4,1.4522
0.0,28.0,93862.2,622.7,93239.5,1.4823
0.0,29.0,95396.6,637.1,94759.5,1.5099
0.0,30.0,96930.9,651.4,96279.5,1.5375
0.025,0.0,-1141.7,4102.3,-5244.1,-0.0716
0.025,1.0,4160.3,4351.9,-191.6,0.0033
0.025,2.0,9333.8,4599.5,4734.3,0.0761
0.025,3.0,14379.5,4845.1,9534.3,0.1489
0.025,4.0,19260.0,5086.8,14173.2,0.2192
0.025,5.0,23986.7,5324.5,18662.1,0.2878
0.025,6.0,28555.8,5557.8,22998.0,0.3546
0.025,7.0,32964.9,5786.3,27178.6,0.4194
0.025,8.0,37210.9,6009.4,31201.5,0.4823
0.025,9.0,41293.5,6226.9,35066.6,0.5432
0.025,10.0,45214.0,6438.6,38775.4,0.6022
0.025,11.0,48894.4,6562.1,42332.3,0.6582
0.025,12.0,52564.5,6755.7,45808.8,0.7132
0.025,13.0,55917.7,7106.9,48810.8,0.7626
0.025,14.0,59316.1,7130.9,52185.2,0.8168
0.025,15.0,62416.7,7153.8,55263.0,0.867
0.025,16.0,65480.4,7480.8,57999.6,0.9128
0.025,17.0,68259.0,7783.5,60475.6,0.9549
0.025,18.0,71071.5,7805.2,63266.2,1.001
0.025,19.0,73623.9,7825.8,65798.2,1.0435
0.025,20.0,76148.7,8105.4,68043.4,1.0822
0.025,21.0,78437.0,8362.7,70074.3,1.1179
0.025,22.0,80749.8,8381.9,72367.9,1.157
0.025,23.0,82819.0,8618.0,74201.0,1.1898
0.025,24.0,84909.0,8636.0,76273.0,1.2257
0.025,25.0,86795.9,8652.7,78143.2,1.2586
0.025,26.0,88664.2,8868.8,79795.4,1.2887
0.025,27.0,90366.9,8884.3,81482.5,1.3188
0.025,28.0,92053.7,9081.8,82971.9,1.3463
0.025,29.0,93574.9,9261.9,84313.0,1.3715
0.025,30.0,95109.2,9276.2,85833.0,1.399
0.05,0.0,-2280.8,8098.2,-10379.0,-0.1418
