"alpha","phi","tau","Aff","Apt","AptNet","AptNet_market","E_apt","Erent","Tax","PV","Density","Q1","Q2","Q3","Q4","Q5","Erent_chg","Erent_chg_perc","AptNet_chg","Aff_chg","Density_chg","Tax_chg","PV_chg"
0,0,0,448.655655953377,167757.569434623,126214.576451219,125765.920795265,3954799.3255806,2714.17574873839,401687.489259321,1557337.66570656,60.4718883496525,790976.644078175,790944.094184471,790956.676669102,790960.451570567,790959.439999335,0,0,0,0,0,0,0
0,0,10,704.48712477039,252876.314692727,172960.77355024,172256.286425469,4001545.52267962,2733.30867621828,392079.701677954,1539448.60461943,61.1866732423924,818598.67062607,805553.944532874,769366.471392843,774432.200632326,833592.216416559,19.13292747989,0.00704925887307906,46746.197099021,255.831468817013,0.011820118607955,-0.0239185631573515,-0.0114869507628674
0,0,12.5,766.243647694732,270867.389636803,182120.961337063,181354.717689368,4010705.71046644,2737.18851920324,389735.622908319,1536144.93379569,61.3267394777444,825682.816101232,806670.927728955,765093.778945608,769719.007728962,843537.160882738,23.0127704648498,0.0084787326228033,55906.384885844,317.587991741355,0.01413633923831,-0.0297541413924548,-0.0136083088321471
0,0,15,825.203764308248,287384.094832985,190335.524448042,189510.320683734,4018920.27357742,2740.76654553268,387502.055697632,1533298.85171023,61.4523463928855,830365.275200556,809089.727415104,761513.019038748,765565.997622277,852384.235221788,26.5907967942899,0.0097970062574797,64120.947996823,376.548108354871,0.016213451737507,-0.0353146013779164,-0.0154358393338053
0,0,17.5,880.702297211411,302397.251789852,197630.734511992,196750.03221478,4026215.48364137,2743.99716709125,385391.985685665,1530831.93913101,61.5638957009935,835263.615845682,810015.604441078,757798.954409055,762796.770487163,860338.519379446,29.8214183528598,0.0109872834751845,71416.158060773,432.046641258034,0.0180580990794754,-0.0405676153959975,-0.0170198969428537
0,0,2.5,511.144546855038,190585.280838747,139356.468057957,138845.323511102,3967941.21718734,2719.41342356231,399344.979887572,1552096.29937819,60.6728378635269,798971.015811788,795162.449091396,785345.733652591,785337.853345765,803122.146206848,5.23767482391986,0.00192974785304689,13141.891606738,62.488890901661,0.00332302362897119,-0.00583167122299078,-0.00336559401585657
0,0,20,932.396169930684,315967.508150881,204091.992053885,203159.595883954,4032676.74118326,2746.91147990595,383421.145769603,1528698.76167657,61.6626932410215,839093.003510417,811273.084102319,755010.812606641,759357.045630835,867940.776254103,32.7357311675596,0.0120610211710779,77877.415602666,483.740513977307,0.01969187541298,-0.0454740164384996,-0.0183896560525277
0,0,22.5,980.136297125658,328176.974128562,209803.129513113,208822.993215987,4038387.87864249,2749.53826166009,381597.030480293,1526855.97595136,61.7500208747019,841729.403662393,812956.520787601,753137.474993922,756361.669847077,874200.790272551,35.3625129216998,0.0130288220790924,83588.553061894,531.480641172281,0.0211359783848513,-0.0500151468896211,-0.0195729483890512
0,0,25,1023.92498632557,339114.463549465,214833.046660918,213809.121674592,4043417.7957903,2751.89915095007,379921.708956954,1525269.3431683,61.8269321319186,844641.572572593,813782.846400082,751148.238614505,753343.976119362,880499.143004808,37.72340221168,0.0138986586366836,88618.470209699,575.269330372193,0.0224078298073171,-0.0541858556324503,-0.0205917594137881
0,0,27.5,1063.85323485931,348879.371357871,219258.259529773,218194.406294914,4047843.00865915,2754.01368216251,378393.221656889,1523901.61477596,61.8945970009798,847943.031737236,813515.450669921,749901.981431179,750296.165733719,886184.360008149,39.8379334241199,0.0146777280147159,93043.683078554,615.197578905933,0.0235267773200847,-0.0579910209436314,-0.0214700072225057
0,0,30,1100.08794729558,357571.085964993,223145.490217636,222045.402270341,4051730.23934702,2755.90497327405,377006.671967972,1522723.4059609,61.9540357134893,850150.606408884,814675.392000948,747506.500992856,748628.732487053,890766.988378327,41.7292245356598,0.0153745477075522,96930.913766417,651.432291342203,0.0245096920947288,-0.0614428329268069,-0.0222265604357265
0,0,5,575.625992931196,212557.847528325,151566.001674235,150990.375681304,3980150.75080361,2724.37765395079,396917.830079993,1547373.32972223,60.8595309148959,805670.867424584,799167.538134034,781063.924159424,779851.795909835,814394.606096788,10.2019052123997,0.0037587489377362,25351.425223016,126.970336977819,0.00641029370543245,-0.0118740545993177,-0.00639831438213445
0,0,7.5,640.532914939225,233390.30906754,162778.108403117,162137.575488178,3991362.8575325,2729.0175104102,394479.804730578,1543161.30562582,61.0309725508565,813376.989818902,802046.743252627,775242.313499066,776086.549784682,824608.242098271,14.8417616718098,0.00546823899620663,36563.531951898,191.877258985848,0.00924535708181184,-0.0179435126098486,-0.00910294561861003
0,0.05,0,452.018499327624,177102.510557993,132509.222158757,132057.203659429,3961093.97128814,2717.88873642231,401253.773011375,1554173.78694735,60.5681382680655,794278.114560259,794234.107779353,788418.416207691,788027.962146154,796133.351515731,3.71298768391989,0.00136799825348288,6294.645707538,3.36284337424701,0.0015916473098454,-0.00107973551465534,-0.0020315945789281
0,0.05,10,714.045555969614,268185.037803195,182875.154654338,182161.109098368,4011459.90378372,2738.46636843079,391116.958687214,1534723.59912373,61.3382716669458,825656.800040984,807857.148475202,766331.529368907,768999.531983799,842612.874835877,24.2906196924,0.00894953825436362,56660.578203119,265.389900016237,0.0143270425471718,-0.0263153094252405,-0.0145209783856155
0,0.05,12.5,778.171936374755,287454.278578152,192756.75715632,191978.585219945,4021341.5062857,2742.67892860016,388654.774545995,1531182.78666578,61.4893688817527,831635.571864437,810814.496715655,761749.829139248,763732.868486468,853406.721000942,28.5031798617697,0.0105015969857585,66542.180705101,329.516280421378,0.0168256781765612,-0.0324449106875528,-0.0167946101970851
0,0.05,15,839.47483058166,305097.896743483,201586.865848864,200747.391018282,4030171.61497824,2746.52084460154,386300.230767141,1528104.52004268,61.6243879568085,836776.910525128,812575.103001016,757771.819993587,760174.366176735,862871.396202829,32.3450958631497,0.0119170970701452,75372.289397645,390.819174628283,0.0190584358882953,-0.0383065415369368,-0.0187712313826411
0,0.05,17.5,897.293320043989,321137.376720753,209442.851798184,208545.55847814,4038027.60092756,2750.00525901898,384079.043526165,1525435.59118847,61.7445119545372,840841.464290345,815189.669297192,754816.947124196,755586.80622229,871590.694914593,35.8295102805896,0.013200880708349,83228.275346965,448.637664090612,0.0210448795236278,-0.0438361816187617,-0.0204850079854816
0,0.05,2.5,515.522865861549,201549.047720455,146666.708773122,146151.18590726,3975251.4579025,2723.58426674448,398796.80232016,1548510.7977068,60.7846170017191,802686.881215364,798393.900956281,783477.300853092,781781.725978198,808909.629820619,9.40851800608971,0.00346643654540912,20452.132321903,66.867209908172,0.00517147158128051,-0.0071963579062202,-0.0056679217321538
0,0.05,20,951.213193383236,335639.750640341,216412.212263417,215460.999070034,4044996.9613928,2753.15084168007,382005.857537006,1523123.34855601,61.8510787745516,844996.534546823,816002.92900723,752188.135960248,752383.317600183,879424.025199363,38.9750929416796,0.0143598265365816,90197.635812198,502.557537429859,0.0228071334059312,-0.0489973729542992,-0.0219697486961038
0,0.05,22.5,1001.0647107213,348677.130084828,222569.361818809,221568.297108087,4051154.11094819,2755.98038167169,380088.399661544,1521126.29875427,61.9452262722659,849302.435863137,816257.077434239,750224.389765798,748367.525943361,887000.662862705,41.8046329332997,0.0154023308743847,96354.78536759,552.409054767923,0.0243640138057946,-0.0537708795402215,-0.0232520973130519
0,0.05,25,1047.02151973027,360402.16665147,228024.955147915,226977.933628185,4056609.70427729,2758.58632089582,378341.693211886,1519456.87160178,62.0286464419177,852824.9108587,816280.643942954,748570.519791811,746250.545102553,892681.065502328,44.4105721574297,0.0163624526444437,101810.378696696,598.365863776893,0.0257435005711071,-0.0581193008786078,-0.0243240723825899
0,0.05,27.5,1088.80631637049,370816.445851845,232793.124699166,231704.318382795,4061377.87382854,2760.85441431892,376738.604221128,1517978.90717337,62.1015553793878,856304.545544601,816413.732351422,745679.367678819,744423.892592312,898554.316582443,46.6786655805299,0.0171980998659453,106578.548247947,640.150660417113,0.0269491671950519,-0.0621101869122106,-0.0252731051202907
0,0.05,30,1126.74719530426,380080.366459235,236981.039902467,235854.292707163,4065565.78903185,2762.87771785074,375284.968032145,1516704.88803572,62.1655917867356,859378.578402247,816449.368541787,744213.093466029,742160.248827118,903362.480715717,48.7019691123496,0.0179435576841285,110766.463451248,678.091539350883,0.0280081122535811,-0.0657290105695353,-0.026091180201697
0,0.05,5,581.394394823595,225078.515923801,159837.477513633,159256.083118809,3988422.22664301,2728.93597066324,396238.25951504,1543377.91044145,60.9860080689228,811618.066072967,801531.020818018,777913.451879715,776590.048743783,820767.620049581,14.7602219248497,0.00543819681968305,33622.901062414,132.738738870218,0.00850179700520726,-0.0135658438213472,-0.00896385900919983
0,0.05,7.5,648.016989638291,247348.961598804,171908.553145262,171260.536155624,4000493.30227464,2733.87283804379,393654.585225727,1538764.84778413,61.170583992443,817798.116674322,805930.435929317,771074.641201192,774047.677716752,831640.41167411,19.6970893053999,0.00725711638774884,45693.976694043,199.361333684914,0.0115540569652892,-0.0199978945035257,-0.0119260057285031
0,0.1,0,455.163850371475,186148.217004951,138669.67287328,138214.509022908,3967254.42200266,2721.62133352186,400830.121962891,1551127.8435142,60.6623362430127,798297.085186941,795640.132167285,786952.745586228,785460.65143075,800901.788552507,7.44558478346971,0.00274322132121707,12455.096422061,6.50819441809801,0.00314936243199515,-0.00213441374042023,-0.00398746034922526
