alpha,cost_per_unit,public_share_pct,affordable_units
0.0,58773.0,46.31,0.0
0.01,58773.0,46.31,1662.0
0.02,58812.0,46.27,3320.0
0.03,58863.0,46.24,4974.0
0.04,58919.0,46.22,6624.0
0.05,58977.0,46.19,8269.0
0.06,59099.0,46.13,9910.0
0.07,59067.0,46.14,11547.0
0.08,59113.0,46.12,13180.0
0.09,59180.0,46.1,14809.0
0.1,59255.0,46.07,16434.0
0.11,59326.0,46.06,18054.0
0.12,59393.0,46.03,19671.0
0.13,59463.0,46.01,21284.0
0.14,59529.0,45.99,22893.0
0.15,59592.0,45.97,24497.0
0.16,59656.0,45.94,26098.0
0.17,59712.0,45.92,27695.0
0.18,59725.0,45.93,29288.0
0.19,59713.0,45.97,30878.0
0.2,59703.0,46.01,32464.0
0.21,59710.0,46.04,34046.0
0.22,59722.0,46.08,35625.0
0.23,59740.0,46.12,37200.0
0.24,59757.0,46.15,38772.0
0.25,59776.0,46.18,40339.0
0.26,59793.0,46.2,41904.0
0.27,59815.0,46.22,43464.0
0.28,59833.0,46.25,45022.0
0.29,59848.0,46.27,46575.0
0.3,59863.0,46.28,48125.0
0.31,59884.0,46.3,49684.0
0.32,59933.0,46.3,51239.0
0.33,59933.0,46.32,52790.0
0.34,59956.0,46.33,54339.0
0.35,59980.0,46.34,55883.0
0.36,59999.0,46.36,57425.0
0.37,59993.0,46.39,58963.0
0.38,59997.0,46.41,60498.0
0.39,60015.0,46.43,62030.0
0.4,60013.0,46.46,63559.0
0.41,60023.0,46.49,65084.0
0.42,60033.0,46.51,66605.0
0.43,60043.0,46.53,68124.0
0.44,60058.0,46.55,69639.0
0.45,60072.0,46.57,71151.0
0.46,60087.0,46.58,72659.0
0.47,60101.0,46.6,74165.0
0.48,60115.0,46.61,75666.0
0.49,60132.0,46.62,77165.0
0.5,60149.0,46.63,78660.0
