alpha,cost_per_unit,public_share_pct,affordable_units
0.0,60923.0,90.27,0.0
0.01,60923.0,90.27,1665.0
0.02,60919.0,90.31,3328.0
0.03,60926.0,90.33,4988.0
0.04,60933.0,90.33,6645.0
0.05,60937.0,90.34,8300.0
0.06,60944.0,90.35,9953.0
0.07,60951.0,90.36,11603.0
0.08,60959.0,90.37,13251.0
0.09,60966.0,90.38,14896.0
0.1,60974.0,90.39,16539.0
0.11,60981.0,90.39,18179.0
0.12,60988.0,90.4,19817.0
0.13,60995.0,90.41,21453.0
0.14,61002.0,90.42,23085.0
0.15,61010.0,90.43,24716.0
0.16,61018.0,90.43,26344.0
0.17,61025.0,90.44,27969.0
0.18,61033.0,90.45,29592.0
0.19,61040.0,90.45,31213.0
0.2,61048.0,90.46,32831.0
0.21,61057.0,90.47,34447.0
0.22,61064.0,90.47,36060.0
0.23,61072.0,90.48,37671.0
0.24,61080.0,90.49,39279.0
0.25,61088.0,90.49,40884.0
0.26,61096.0,90.5,42488.0
0.27,61104.0,90.51,44088.0
0.28,61111.0,90.51,45687.0
0.29,61119.0,90.52,47282.0
0.3,61127.0,90.53,48876.0
0.31,61145.0,90.52,50480.0
0.32,61162.0,90.51,52082.0
0.33,61179.0,90.5,53682.0
0.34,61195.0,90.49,55279.0
0.35,61211.0,90.48,56874.0
0.36,61226.0,90.48,58467.0
0.37,61241.0,90.47,60057.0
0.38,61256.0,90.47,61646.0
0.39,61268.0,90.47,63231.0
0.4,61281.0,90.47,64815.0
0.41,61293.0,90.47,66396.0
0.42,61304.0,90.47,67975.0
0.43,61316.0,90.47,69551.0
0.44,61327.0,90.47,71126.0
0.45,61338.0,90.48,72698.0
0.46,61350.0,90.48,74267.0
0.47,61360.0,90.48,75834.0
0.48,61371.0,90.48,77399.0
0.49,61382.0,90.49,78962.0
0.5,61392.0,90.49,80522.0
